Timestamp,Age ,Gender  ,Marital_Status,Type_of_Family,Family_Size,Education_Level,Occupation,Family_Annual_Income,"Number_of_earning _members_in_the_family
(Including you)",With_whom_you_usually_spend_your_most_of_the_Leisure_time_with,What_are_reasons_for_the_same,TRAVEL,JOB_STUDY,HOUSEWORK,CALLING,CareOfHealth,MEALS,SOCIALMEDIA,SLEEP,ENTERTAINMENT,LEISURETIME,activities_in_a_regular_day,What_do_you_prefer_to_do_in_your_freetime,Your_Attitude_Toward_Life,Mental_Stability,Time_management,Passion_for_Living,Difficult_Interactions,Healthy_Life,Fullfill_your_enjoyments,Daily_Struggle,Social_Neighbourhood,Weekend_satisfaction,Promptness,Transport_facilities,Environment_in_your_Locality/Area,Unorthodox_family,Sufficient_Resources,Fulfilment_of_desires,High_Expectations_towards_life,Work/Study_Environment,Have_you_ever_considered_making_improvements_to_your_daily_routine,"Then_why_do_you_want_OR_don't_you_want_to_improve_your_daily_routine
(SHORT ANSWER)"
10/14/2023 21:26:18,22,Female,Single,Nuclear,4,Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Moral Support (encouragement that you give to somebody who is nervous or worried)",1,8,3,0.5,0.5,1,3,7,3,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Reading Books, Job / Work, Cooking, Grocery Shopping, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Long Drive, Just Relaxing (Resting), Shopping, Music, Go for a walk",5,5,5,5,3,5,5,4,3,4,3,3,4,5,5,4,3,4,Yes,Improving daily routine has a long term effect on our personality and quality of life
10/14/2023 21:28:32,21,Male,Single,Nuclear,5,Post Graduate,Student,6-9 lakh,3,Friends,"Reduce Anxiety, Quality Time (for some enjoyment)",3,1,0.5,0.5,3,1,1,8,3,2,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Animal Care, Power Nap, Family Time","Social Media, Sleeping, Family Time",3,2,3,2,4,3,2,3,2,2,3,3,2,3,2,3,4,4,Yes,improving mental health by yoga 
10/14/2023 21:31:24,21,Male,Single,Nuclear,4,Post Graduate,Student,6-9 lakh,2,Partner,"Refresh Mood, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",3.5,2,1,1,1,1,3,8,2,1.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Hangout with friends, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Chatting",3,3,4,3,3,3,4,4,4,4,4,4,4,5,5,5,4,4,Yes,to work on acquiring new skills
10/14/2023 21:34:50,21,Male,Single,Nuclear,4,Graduate,Student,3-6 lakh,2,Friends,"Refresh Mood, Quality Time (for some enjoyment)",1,6,0,0,0.25,1.5,2,8,0.5,3,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Going for Walk (Friends, Family, etc)","Social Media, Hangout with friends, Playing Outdoor games",4,4,2,4,3,4,3,2,4,3,2,4,4,1,4,3,2,3,Yes,Accomplish more work
10/14/2023 21:38:28,22,Male,Single,Nuclear,4,Graduate,Private Sector,3-6 lakh,2,Alone,"Refresh Mood, Reduce Anxiety, Privacy (just your alone time)",2,9,1,1,0,1,2,7,1,1.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Job / Work, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Family Time","Social Media, Sleeping, Games (Mobile or Computer games)",4,4,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,So that my life becomes more systematic and lovable
10/14/2023 21:44:19,23,Male,Single,Nuclear,5,Post Graduate,Student,6-9 lakh,1,Alone,"Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",3.5,3,1,1,1,2,1,6,2,1.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Family Time","Social Media, Sleeping, Family Time, Hangout with friends, Chatting, Music",4,4,4,5,2,4,4,3,3,3,3,4,3,4,4,4,4,4,Yes,Day by day the situation are getting tough...therefore the daily routine and schedule has to be changed 
10/14/2023 21:45:15,24,Male,Single,Nuclear,3,Graduate,Private Sector,3-6 lakh,3,Partner,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time)",4,8,0.5,1,1,1,1,6,2,0.5,"Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Job / Work, Power Nap, Family Time, Gardening, Networking (Attending Social or Professional Events)","Social Media, Sleeping, Family Time, Hangout with friends, Reading Books, Games (Mobile or Computer games), Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Long Drive, Shopping, Music, Writing, Swimming, Pet Grooming",4,3,3,3,3,3,2,5,3,4,3,3,2,4,3,3,4,3,No,I don't have time for improvement in life I have lot of work stress 
10/14/2023 21:47:26,22,Male,Single,Joint,6,Graduate,Student,0-3 lakh,1,Colleagues,Moral Support (encouragement that you give to somebody who is nervous or worried),3,3,2,1,2,1,1,7,1,1,Use Mobile,Sleeping,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,difficult to find time for new activities
10/14/2023 21:49:27,27,Female,Single,Nuclear,4,"Professional course (Diploma, ITI, etc.)",Private Sector,0-3 lakh,3,Colleagues,"Refresh Mood, Reduce Anxiety, Privacy (just your alone time), Self motivation",3,8,2,2,1,0.5,1,6,1,1.5,"Use Mobile, Travel, Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Job / Work, Grocery Shopping, Idle Time, Power Nap, Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Games (Mobile or Computer games), Long Drive, Just Relaxing (Resting), Shopping, Chatting, Music, Writing, Go for a walk, Swimming",4,2,3,3,4,4,4,5,4,4,3,4,3,4,3,3,4,4,No,I busy in my schedule i don't have time for improvement in my daily routine 
10/14/2023 21:52:12,21,Male,Single,Nuclear,5,Post Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",0.75,9,0.5,0.25,1,1,0.5,8,3,1.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Job / Work, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Review Goals, Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc), Family Time, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Creative Work (Crafting, Photography, etc), Just Relaxing (Resting), Social Activities, Part time work",3,3,3,4,2,3,4,5,3,3,3,4,2,5,3,3,5,4,Yes,Just want to cut the wastage of time in my daily routine.
10/14/2023 21:53:14,30,Male,Married,Nuclear,3,"Professional course (Diploma, ITI, etc.)",Private Sector,9-12 lakh,2,Partner,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time), Moral Support (encouragement that you give to somebody who is nervous or worried)",3,8,0.5,0.5,0.5,1,1,6,1,1.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Studying, Job / Work, Cooking, Grocery Shopping, Personal Hygiene, Idle Time, Power Nap, Review Goals, Going for Walk (Friends, Family, etc), Volunteer Work or Community Involvement","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Games (Mobile or Computer games), Playing Outdoor games, Just Relaxing (Resting), Music, Go for a walk, Swimming",3,3,3,3,3,4,3,4,3,4,3,4,2,4,4,4,3,4,No,"I m satisfied with my current lifestyle,np need to improvement "
10/14/2023 21:56:50,22,Female,Single,Nuclear,3,Graduate,Private Sector,3-6 lakh,1,Friends,"Refresh Mood, Quality Time (for some enjoyment)",2,8,0,0.5,0,2,2,8,1,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Job / Work, Family Time","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Just Relaxing (Resting)",4,4,4,4,2,4,4,2,4,4,4,4,4,1,4,4,4,4,Yes,Would like to concentrate towards fitness and exercise
10/14/2023 22:07:34,21,Female,Single,Nuclear,4,Graduate,Student,6-9 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",1,6,1,1,1,2,1,7,2,1,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Reading Books, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Shopping (Clothes, Electronics, etc), Family Time","Social Media, Sleeping, Family Time, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Shopping, Music",3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,4,4,Yes,To achieve more impact ful results 
10/14/2023 22:13:05,22,Female,Single,Nuclear,6,Graduate,Student,3-6 lakh,2,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",4,1,5,2,0.5,1.5,2,8,0,1.5,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Cooking, Household Chores (Tasks such as cleaning, washing to be done regularly at home)","Family Time, Part time work, Go for a walk",2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,Yes,I want to improve my life because I am not satisfied with my life and my current life is not what I want 
