Timestamp,Age ,   Gender  ,  Marital Status:  ,"  Type of Family:   
(Nuclear family = just your mom dad, sibiling and you)",  Family Size: (including yourself),  Education Level:  ,  Occupation  ,  Family Annual Income :  ,"  Number of earning members in the family?  
(Including you)","With whom do you usually spend your most of the Leisure time with? 
(Leisure time - time when you are not working or occupied; free time)",What are the reasons for the same? (You can select multiple options)  ,TRAVEL,JOB_STUDY,HOUSEWORK,CALLING,CareOfHealth,MEALS,SOCIALMEDIA,SLEEP,ENTERTAINMENT,LEISURETIME,What activities you go through in a regular day? (You can select multiple options),What do you prefer to do in your leisure (free) time? (You can select multiple options),Your Attitude Toward Life,Mental Stability ,Time management,Passion for Living (an energy source for living an inspired life that is driven by purposeful action  ),Difficult Interactions (Can't communicate with people precisely),Healthy Life ( LOWERS THE RISK of being seriously ill ),Fullfill your enjoyments,"Daily Struggle ( to try very hard to do, achieve your goals)","Social Neighbourhood ( Networks provide sociability, social support, and social capital to their members )",Weekend satisfaction (great satisfaction with your weekend activities ),Promptness (doing things without delay or at the appropriate time.),"Transport facilities (Train, Bus, Rikshaw, etc)",Environment in your Locality / Area,"Unorthodox family ( not conforming to rules, traditions, or modes of conduct )",Sufficient Resources (sufficient material and financial resources available),Fulfilment of desires ( completion or achievement ),High Expectations towards life ,Work / Study Environment ,Have you ever considered making improvements to your daily routine ?,"Then why do you want OR don't you want to improve your daily routine?
(SHORT ANSWER)",Total_Activity_Hours_Final
10-10-2023 22:31,18,Female,Single,Joint,6,Graduate,Student,0-3 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), ",2.89,3.97,1.99,0.5,0.75,0.99,1.99,7.95,1.99,0.99,"Use Mobile, Travel, Reading Newspaper, Watching (T.V. /Reels/Movies), Cooking, Personal Hygiene, Family Time","Social Media, Sleeping, Family Time, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Social Activities, Music, Writing, Go for a walk, Swimming",4,3,4,2,3,5,4,4,3,2,4,5,5,3,3,5,5,3,Yes," Do something new in life, something different",24
10-10-2023 23:36,23,Male,Single,Nuclear,5,Post Graduate,Student,0-3 lakh,1,Friends,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Privacy (just your alone time), Moral Support (encouragement that you give to somebody who is nervous or worried), Self motivation",5.28,3.74,1.87,0.7,0.94,0.7,2.81,4.68,1.87,1.4,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Personal Hygiene, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap, Review Goals, Going for Walk (Friends, Family, etc), Family Time, Gardening, Networking (Attending Social or Professional Events)","Social Media, Sleeping, Family Time, Hangout with friends, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Long Drive, Just Relaxing (Resting), Music, Go for a walk",3,4,5,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,Yes,I want to improve because improvement is key to success ð±,24
10-11-2023 10:17,22,Male,Single,Joint,6,Post Graduate,Student,0-3 lakh,1,Friends,Refresh Mood,4.44,4.89,2.93,0.98,0,0.98,1.96,5.87,0,1.96,"Use Mobile, Technolgy (Gadgets, Programming, etc), ",Sleeping,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,Patience and mental health,24
10/14/2023 14:22:49,30,Male,Single,Nuclear,3,Post Graduate,Public Sector(Government sector),6-9 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation, ",2.72,7.24,0.91,0,0.45,0.91,1.81,6.33,0.91,2.72,"Use Mobile, Travel, Exercise(Gym/Yoga /etc), Spiritual Activity, Job / Work, Idle Time, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc), Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Music, Go for a walk",1,3,2,1,3,2,1,1,2,3,2,1,2,1,2,2,1,1,Yes,Time management,24
10/14/2023 21:16:01,22,Female,Single,Nuclear,4,Graduate,Student,3-6 lakh,1,Friends,"Quality Time (for some enjoyment), Privacy (just your alone time)",0.71,7.6,1.9,1.9,0.95,1.9,0.95,7.6,0,0.48,"Use Mobile, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Cooking, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Power Nap","Just Relaxing (Resting), Music",3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,Yes,To concentrate more on studies ,24
10/14/2023 21:26:18,22,Female,Single,Nuclear,4,Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Moral Support (encouragement that you give to somebody who is nervous or worried)",1.23,6.75,2.53,0.42,0.42,0.84,2.53,5.9,2.53,0.84,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Reading Books, Job / Work, Cooking, Grocery Shopping, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Reading Books, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Long Drive, Just Relaxing (Resting), Shopping, Music, Go for a walk",5,5,5,5,3,5,5,4,3,4,3,3,4,5,5,4,3,4,Yes,Improving daily routine has a long term effect on our personality and quality of life,24
10/14/2023 21:28:32,21,Male,Single,Nuclear,5,Post Graduate,Student,6-9 lakh,3,Friends,"Reduce Anxiety, Quality Time (for some enjoyment)",4.41,0.98,0.49,0.49,2.94,0.98,0.98,7.84,2.94,1.96,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Animal Care, Power Nap, Family Time","Social Media, Sleeping, Family Time",3,2,3,2,4,3,2,3,2,2,3,3,2,3,2,3,4,4,Yes,improving mental health by yoga ,24
10/14/2023 21:31:24,21,Male,Single,Nuclear,4,Post Graduate,Student,6-9 lakh,2,Partner,"Refresh Mood, Quality Time (for some enjoyment), Moral Support (encouragement that you give to somebody who is nervous or worried)",4.26,1.93,0.96,0.96,0.96,0.96,2.89,7.7,1.93,1.44,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Family Time, Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Hangout with friends, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Chatting",3,3,4,3,3,3,4,4,4,4,4,4,4,5,5,5,4,4,Yes,to work on acquiring new skills,24
10/14/2023 21:34:50,21,Male,Single,Nuclear,4,Graduate,Student,3-6 lakh,2,Friends,"Refresh Mood, Quality Time (for some enjoyment)",1.63,6.32,0,0,0.26,1.58,2.11,8.42,0.53,3.16,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Going for Walk (Friends, Family, etc)","Social Media, Hangout with friends, Playing Outdoor games",4,4,2,4,3,4,3,2,4,3,2,4,4,1,4,3,2,3,Yes,Accomplish more work,24
10/14/2023 21:38:28,22,Male,Single,Nuclear,4,Graduate,Private Sector,3-6 lakh,2,Alone,"Refresh Mood, Reduce Anxiety, Privacy (just your alone time)",2.79,8.13,0.9,0.9,0,0.9,1.8,6.33,0.9,1.35,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Job / Work, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Family Time","Social Media, Sleeping, Games (Mobile or Computer games)",4,4,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,Yes,So that my life becomes more systematic and lovable,24
10/14/2023 21:44:19,23,Male,Single,Nuclear,5,Post Graduate,Student,6-9 lakh,1,Alone,"Quality Time (for some enjoyment), Privacy (just your alone time), Self motivation",5.31,3.03,1.01,1.01,1.01,2.02,1.01,6.06,2.02,1.52,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Reading Books, Family Time","Social Media, Sleeping, Family Time, Hangout with friends, Chatting, Music",4,4,4,5,2,4,4,3,3,3,3,4,3,4,4,4,4,4,Yes,Day by day the situation are getting tough...therefore the daily routine and schedule has to be changed ,24
10/14/2023 21:45:15,24,Male,Single,Nuclear,3,Graduate,Private Sector,3-6 lakh,3,Partner,"Refresh Mood, Quality Time (for some enjoyment), Privacy (just your alone time)",5.91,6.89,0.43,0.86,0.86,0.86,0.86,5.17,1.72,0.43,"Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Spiritual Activity, Job / Work, Power Nap, Family Time, Gardening, Networking (Attending Social or Professional Events)","Social Media, Sleeping, Family Time, Hangout with friends, Reading Books, Games (Mobile or Computer games), Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Long Drive, Shopping, Music, Writing, Swimming, Pet Grooming",4,3,3,3,3,3,2,5,3,4,3,3,2,4,3,3,4,3,No,I don't have time for improvement in life I have lot of work stress ,24
10/14/2023 21:47:26,22,Male,Single,Joint,6,Graduate,Student,0-3 lakh,1,Colleagues,Moral Support (encouragement that you give to somebody who is nervous or worried),4.6,3.06,2.04,1.02,2.04,1.02,1.02,7.15,1.02,1.02,Use Mobile,Sleeping,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,difficult to find time for new activities,24
10/14/2023 21:49:27,27,Female,Single,Nuclear,4,"Professional course (Diploma, ITI, etc.)",Private Sector,0-3 lakh,3,Colleagues,"Refresh Mood, Reduce Anxiety, Privacy (just your alone time), Self motivation",3.93,6.98,1.75,1.75,0.87,0.44,0.87,5.24,0.87,1.31,"Use Mobile, Travel, Reading Newspaper, Watching (T.V. /Reels/Movies), Exercise(Gym/Yoga /etc), Studying, Job / Work, Grocery Shopping, Idle Time, Power Nap, Shopping (Clothes, Electronics, etc), Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Games (Mobile or Computer games), Long Drive, Just Relaxing (Resting), Shopping, Chatting, Music, Writing, Go for a walk, Swimming",4,2,3,3,4,4,4,5,4,4,3,4,3,4,3,3,4,4,No,I busy in my schedule i don't have time for improvement in my daily routine ,24
10/14/2023 21:52:12,21,Male,Single,Nuclear,5,Post Graduate,Student,3-6 lakh,1,Family,"Refresh Mood, Reduce Anxiety, Quality Time (for some enjoyment)",1.32,8.25,0.46,0.23,0.92,0.92,0.46,7.33,2.75,1.37,"Use Mobile, Travel, Watching (T.V. /Reels/Movies), Studying, Job / Work, Personal Hygiene, Household Chores (Tasks such as cleaning, washing to be done regularly at home), Review Goals, Going for Walk (Friends, Family, etc), Creative Activities (Writing, Crafting, Photography, etc), Family Time, Networking (Attending Social or Professional Events), Technolgy (Gadgets, Programming, etc)","Social Media, Sleeping, Family Time, Learning new things, Hangout with friends, Playing Outdoor games, Online Streaming (Movies, TV shows, YouTube videos and livestreamed content), Personality Development, Creative Work (Crafting, Photography, etc), Just Relaxing (Resting), Social Activities, Part time work",3,3,3,4,2,3,4,5,3,3,3,4,2,5,3,3,5,4,Yes,Just want to cut the wastage of time in my daily routine.,24
